AMARA AA-672-PS-09;Start;Destination;Fuel Cost (CFA);Road Fees (CFA);Total Expense;Tonnage (T);Total Gross (CFA);Total Net (€);;;;;;
06/03/2025;Lauzoua;San Pedro;;5 500CFA;5 500CFA;;0CFA;;;;;;;
07/03/2025;Lauzoua;San Pedro;151 500CFA;23 230CFA;174 730CFA;;0CFA;;;;;;;
08/03/2025;Lauzoua;San Pedro;188 870CFA;;188 870CFA;56,26;450 080CFA;261 210CFA;;;;;;
09/03/2025;Lauzoua;San Pedro;435 310CFA;38 380CFA;473 690CFA;116,02;928 160CFA;454 470CFA;233 310 + 202 000;;;;;
10/03/2025;Lauzoua;;;;;;0CFA;0CFA;;;;;;
11/03/2025;Lauzoua;;;;;;0CFA;0CFA;;;;;;
12/03/2025;Lauzoua;ABIDJAN;239 670CFA;24 240CFA;263 910CFA;56,84;454 720CFA;190 810CFA;;;;;;
13/03/2025;Lauzoua;ABIDJAN;82 315CFA;23 230CFA;105 545CFA;60,00;480 000CFA;374 455CFA;;;;;;
14/03/2025;Lauzoua;ABIDJAN;270 325CFA;27 000CFA;297 325CFA;61,78;494 240CFA;196 915CFA;;;;;;
15/03/2025;Lauzoua;ABIDJAN;248 055CFA;23 230CFA;271 285CFA;60,62;484 960CFA;213 675CFA;;;;;;
16/03/2025;Lauzoua;ABIDJAN;102 000CFA;42 250CFA;144 250CFA;111,54;892 320CFA;748 070CFA;52,26+59,28;;;;;
17/03/2025;Lauzoua;ABIDJAN;251 490CFA;25 250CFA;276 740CFA;58,48;467 840CFA;191 100CFA;;;;;;
18/03/2025;Lauzoua;San Pedro;0CFA;28 280CFA;28 280CFA;58,46;467 680CFA;439 400CFA;;;;;;
19/03/2025;Lauzoua;San Pedro;260 330CFA;23 230CFA;283 560CFA;55,22;441 760CFA;158 200CFA;;;;;;
20/03/2025;Lauzoua;San Pedro;184 830CFA;23 230CFA;208 060CFA;49,14;393 120CFA;185 060CFA;;;;;;
21/03/2025;Lauzoua;San Pedro;250 250CFA;33 360CFA;283 610CFA;110,54;884 320CFA;600 710CFA;52,38+58,16;;;;;
22/03/2025;Lauzoua;San Pedro;198 920CFA;28 130CFA;227 050CFA;103,56;828 480CFA;601 430CFA;51,02+52,54;;;;;
23/03/2025;Lauzoua;San Pedro;202 000CFA;15 150CFA;217 150CFA;53,72;429 760CFA;212 610CFA;;;;;;
24/03/2025;Lauzoua;;0CFA;5 000CFA;5 000CFA;;0CFA;-5 000CFA;;;;;;
25/03/2025;Lauzoua;;0CFA;13 000CFA;13 000CFA;;0CFA;-13 000CFA;;;;;;
26/03/2025;Lauzoua;ABIDJAN;249 470CFA;25 250CFA;274 720CFA;53,14;425 120CFA;150 400CFA;;;;;;
27/03/2025;Lauzoua;ABIDJAN;151 500CFA;23 230CFA;174 730CFA;57,28;458 240CFA;283 510CFA;;;;;;
28/03/2025;Lauzoua;ABIDJAN;0CFA;23 230CFA;23 230CFA;50,06;400 480CFA;377 250CFA;;;;;;
;TOTAL;;3 466 835CFA;473 400CFA;3 940 235CFA;1 172,66;9 381 280CFA;5 441 045CFA;;;;;;
;;;;;7 036,13$;;16 752,29$;9 716,15$;;;;;;
;;;;;;;;;;;;;;
;;;;TOTAL 06/03/2025 TRIP FROM MARCH 08 TO 28/03/2025                          06/03/2025  5 009 Km      13 138 Km on 28/03                                         Total distance for 21 Trip  8 129Km;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
05/04/2025;Abidjan;Lauzoua;247 450CFA;10 000CFA;257 450CFA;;;-257 450CFA;;;;;;
06/04/2025;Abidjan;Lauzoua;;20 000CFA;20 000CFA;59,74;477 920CFA;457 920CFA;;;;;;
07/04/2025;Abidjan;Lauzoua;101 000CFA;23 230CFA;124 230CFA;44,52;356 160CFA;231 930CFA;;;;;;
08/04/2025;Abidjan;Lauzoua;263 888CFA;23 230CFA;287 118CFA;59,76;476 800CFA;189 682CFA;109 358 +154 530;;;;;
09/04/2025;Abidjan;Lauzoua;284 320CFA;23 230CFA;307 550CFA;115,32;922 560CFA;615 010CFA;50 000+ 234 320;57,42+57,9;;;;
10/04/2025;Abidjan;Lauzoua;;25 000CFA;25 000CFA;57,60;460 800CFA;435 800CFA;;;;;;
11/04/2025;Abidjan;Lauzoua;242 400CFA;23 230CFA;265 630CFA;65,48;523 840CFA;258 210CFA;;;;;;
