BRAHIMA AA-736-PK;Start;Destination;Fuel Cost (CFA);Road Fees (CFA);;Total Expense;Tonnage (T);Total Gross (CFA);Total Net (€);COMMENTAIRE;;;;
04/06/2025;ABIDJAN;SAN PEDRO;242 354CFA;23 000CFA;;265 354CFA;54,20;433 600;168 246,00;;;;;
05/06/2025;LAUZOUA;SAN PEDRO;242 400CFA;20 200CFA;;262 600CFA;55,88;447 040;184 440,00;;;;;
06/06/2025;LAUZOUA;SAN PEDRO;0CFA;0CFA;;0CFA;0,00;0;0,00;;;;;
07/06/2025;LAUZOUA;SAN PEDRO;0CFA;0CFA;;0CFA;;0;0,00;;;;;
08/06/2025;LAUZOUA;SAN PEDRO;0CFA;20 200CFA;;20 200CFA;55,76;446 080;425 880,00;;;;;
09/06/2025;LAUZOUA;SAN PEDRO;150 000CFA;20 200CFA;;170 200CFA;53,30;426 400;256 200,00;;;;;
10/06/2025;LAUZOUA;SAN PEDRO;150 000CFA;20 200CFA;;170 200CFA;52,64;421 120;250 920,00;;;;;
11/06/2025;LAUZOUA;SAN PEDRO;248 865CFA;30 200CFA;;279 065CFA;56,26;450 080;171 015,00;10K POLICE DOCUMENTS;;;;
12/06/2025;LAUZOUA;SAN PEDRO;0CFA;20 200CFA;;20 200CFA;55,70;445 600;425 400,00;;;;;
13/06/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;;161 600CFA;56,24;449 920;288 320,00;;;;;
14/06/2025;LAUZOUA;SAN PEDRO;0CFA;20 200CFA;;20 200CFA;59,92;479 360;459 160,00;;;;;
15/06/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;;161 600CFA;64,44;515 520;353 920,00;;;;;
16/06/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;;161 600CFA;58,30;466 400;304 800,00;;;;;
17/06/2025;LAUZOUA;SAN PEDRO;141 400CFA;22 200CFA;;163 600CFA;54,82;438 560;274 960,00;2K *3  grease Trucks;;;;
18/06/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;;161 600CFA;55,22;441 760;280 160,00;;;;;
19/06/2025;LAUZOUA;SAN PEDRO;0CFA;3 000CFA;;3 000CFA;0,00;0;-3 000,00;;;;;
20/06/2025;LAUZOUA;SAN PEDRO;0CFA;3 000CFA;;3 000CFA;0,00;0;-3 000,00;;;;;
21/06/2025;LAUZOUA;SAN PEDRO;0CFA;3 000CFA;;3 000CFA;0,00;0;-3 000,00;;;;;
22/06/2025;LAUZOUA;SAN PEDRO;0CFA;3 000CFA;;3 000CFA;0,00;0;-3 000,00;;;;;
23/06/2025;LAUZOUA;SAN PEDRO;0CFA;3 000CFA;;3 000CFA;0,00;0;-3 000,00;;;;;
24/06/2025;LAUZOUA;SAN PEDRO;0CFA;3 000CFA;;3 000CFA;0,00;0;-3 000,00;;;;;
25/06/2025;LAUZOUA;SAN PEDRO;0CFA;3 000CFA;;3 000CFA;0,00;0;-3 000,00;;;;;
26/06/2025;LAUZOUA;SAN PEDRO;0CFA;5 000CFA;;5 000CFA;0,00;0;-5 000,00;;;;;
27/06/2025;LAUZOUA;SAN PEDRO;141 400CFA;30 000CFA;;171 400CFA;53,62;428 960;257 560,00;10K POLICE.       31293KM;;;;
28/06/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;;161 600CFA;57,28;458 240;296 640,00;;;;;
29/06/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;;161 600CFA;57,36;458 880;297 280,00;;;;;
30/06/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;;161 600CFA;54,08;432 640;271 040,00;32079KM;;;;
;;;;;;;;;0,00;;;;;
;;;;;;;;;0,00;;;;;
;;;;;;;;;0,00;;;;;
;TOTAL;;2 306 219CFA;394 000CFA;;2 700 219CFA;955,02;7640160;4939941;;;;;
;;;$3 843,70;$656,67;;$4 500,37;;$12 733,60;$8 233,24;;;;;
;;;;;;;;;;;;;;
JULY;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
01/07/2025;ABIDJAN;SAN PEDRO;141 499CFA;80 000CFA;;221 499CFA;58,58;468640;247 141CFA;60K Mechanical probleme;32 466km;;;
02/07/2025;LAUZOUA;SAN PEDRO;141 499CFA;20 200CFA;;161 699CFA;53,98;431 840,00;270 141CFA;;32 855km;;;
03/07/2025;LAUZOUA;SAN PEDRO;282 800CFA;20 200CFA;;303 000CFA;104,00;832 000;529 000CFA;52,34+51,66;33 629km;;;
04/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;30 300CFA;;171 700CFA;54,02;432 160;260 460CFA;10K Police;34 018KM;;;
05/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;;161 600CFA;54,92;439 360;277 760CFA;;34 404KM;;;
06/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;;161 600CFA;55,56;444 480;282 880CFA;;34 793KM;;;
07/07/2025;LAUZOUA;SAN PEDRO;0CFA;5 050CFA;;5 050CFA;0,00;0;-5 050CFA;Probleme at mining place no chargement;;;;
08/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;;161 600CFA;54,60;436 800;275 200CFA;;35 193KM;;;
09/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;;161 600CFA;54,82;438 560;276 960CFA;;35 580KM;;;
10/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;;161 600CFA;58,28;466 240;304 640CFA;;35 965KM;;;
11/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;30 300CFA;;171 700CFA;60,18;481 440;309 740CFA;10K Police;36 350KM;;;
12/07/2025;LAUZOUA;SAN PEDRO;282 800CFA;30 300CFA;;313 100CFA;109,96;879 680;566 580CFA;2 trips 56,22+53,74;36 736KM/37 121KM;;;
13/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;;161 600CFA;57,94;463 520;301 920CFA;;37 516Km;;;
14/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;20 200CFA;;161 600CFA;53,92;431 360;269 760CFA;;37 901Km;;;
15/07/2025;LAUZOUA;SAN PEDRO;141 400CFA;25 250CFA;;166 650CFA;59,94;479 520;312 870CFA;5K Doors probleme;38 290Km;;;
16/07/2025;LAUZOUA;SAN PEDRO;282 800CFA;40 400CFA;;323 200CFA;106,80;854 400;531 200CFA;52,86+53,94      10K Police;38 679Km / 39 454Km;;;
