SORRO  AA-579-PJ;Start;Destination;Fuel Cost (CFA);Road Fees (CFA)+Police;Total Expense;Tonnage (T);Total Gross (CFA);Total Net ;COMMENTAIRE;KM;;;;
01/03/2025;;;;;;;;;;;;;;
02/03/2025;;;;;;;;;;;;;;
03/03/2025;;;;;;;;;;;;;;
04/03/2025;;;;;;;;;;;;;;
05/03/2025;;;;;;;;;;;;;;
06/03/2025;;;;;;;;;;;;;;
07/03/2025;;;;;;;;;;;;;;
08/03/2025;;;;;;;;;;;;;;
09/03/2025;;;;;;;;;;;;;;
10/03/2025;;;;;;;;;;;;;;
11/03/2025;;;;;;;;;;;;;;
12/03/2025;;;;;;;;;;;;;;
13/03/2025;;;;;;;;;;;;;;
14/03/2025;;;;;;;;;;;;;;
15/03/2025;;;;;;;;;;;;;;
16/03/2025;;;60 000CFA;;60 000CFA;;;-60 000CFA;;;;;;
17/03/2025;ABIDJAN;LAUZOUA;216 020CFA;;216 020CFA;55,22;441 760CFA;225 740CFA;;;;;;
18/03/2025;ABIDJAN;LAUZOUA;247 950CFA;23 230CFA;271 180CFA;64,86;518 880CFA;247 700CFA;;;;;;
19/03/2025;SAN PEDRO;LAUZOUA;248 470CFA;13 120CFA;261 590CFA;111;888 000CFA;626 410CFA;59,90+51,1;;;;;
20/03/2025;SAN PEDRO;LAUZOUA;;15 150CFA;15 150CFA;49;392 000CFA;376 850CFA;;;;;;
21/03/2025;SAN PEDRO;LAUZOUA;;5 050CFA;5 050CFA;;0CFA;-5 050CFA;;;;;;
22/03/2025;SAN PEDRO;LAUZOUA;252 500CFA;26 260CFA;278 760CFA;;0CFA;-278 760CFA;;;;;;
23/03/2025;SAN PEDRO;LAUZOUA;;25 260CFA;25 260CFA;53,98;431 840CFA;406 580CFA;;;;;;
24/03/2025;ABIDJAN;LAUZOUA;100 000CFA;23 230CFA;123 230CFA;56,26;450 080CFA;326 850CFA;;;;;;
25/03/2025;ABIDJAN;LAUZOUA;150 000CFA;23 230CFA;173 230CFA;56,62;452 960CFA;279 730CFA;;;;;;
;TOTAL;;1 274 940CFA;154 120CFA;1 429 060CFA;446,94;3 575 520CFA;2 146 460CFA;;;;;;
;;;2  124,9;;2 552$;;5 959,2 $;3 833$;;;;;;
;;"TOTAL TRIP FROM MARCH 06 TO 28/03/2025  Start 4 422 Km / 7 487 Km on 28/03  
                                       
  Total distance for 8 Trip  3 065 Km";;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
AMARA;;;;;;;;;;;;;;
04/06/2025;ABIDJAN;SAN PEDRO;242 354CFA;23 000CFA;265 354CFA;61,04;488 320CFA;222 966CFA;;;;;;
05/06/2025;LAUZOUA;SAN PEDRO;0CFA;20 200CFA;20 200CFA;62,08;496 640CFA;476 440CFA;;;;;;
06/06/2025;LAUZOUA;SAN PEDRO;0CFA;0CFA;0CFA;0,00;0CFA;0CFA;;;;;;
